"","Family","Taxon","Order","Importer","Exporter","Year","n","Clean_code","IUCNName","order_new","CITES order","Number of plants traded","analysis"
"126","Amaryllidaceae","Galanthus woronowii","Liliales","DK","TR",2007,0,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"127","Amaryllidaceae","Galanthus woronowii","Liliales","DK","TR",2008,0,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"128","Amaryllidaceae","Galanthus woronowii","Liliales","DK","TR",2010,0,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"129","Amaryllidaceae","Galanthus woronowii","Liliales","DK","TR",2011,0,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"130","Amaryllidaceae","Galanthus woronowii","Liliales","CH","TR",2020,0,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"131","Amaryllidaceae","Galanthus woronowii","Liliales","CH","TR",2008,0,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"132","Amaryllidaceae","Galanthus nivalis","Liliales","US","NL",2003,0,"NE","Galanthus nivalis","Asparagales","Liliales",178686359,"Yes"
"133","Amaryllidaceae","Galanthus woronowii","Liliales","DK","TR",2015,0,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"134","Amaryllidaceae","Galanthus woronowii","Liliales","DK","TR",2016,0,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"135","Amaryllidaceae","Galanthus elwesii","Liliales","NL","TR",2000,3905000,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"136","Amaryllidaceae","Galanthus woronowii","Liliales","CH","TR",2000,0,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"137","Amaryllidaceae","Galanthus woronowii","Liliales","CH","TR",2001,0,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"138","Amaryllidaceae","Galanthus woronowii","Liliales","DK","TR",2006,0,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"139","Amaryllidaceae","Galanthus elwesii","Liliales","DK","TR",2007,0,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"140","Amaryllidaceae","Galanthus elwesii","Liliales","DK","TR",2008,0,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"141","Amaryllidaceae","Galanthus woronowii","Liliales","DK","TR",2009,0,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"142","Amaryllidaceae","Galanthus elwesii","Liliales","DK","TR",2011,0,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"143","Amaryllidaceae","Galanthus woronowii","Liliales","DK","TR",2012,0,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
